Boat,Class,Name
10,FC,Miss Gretchen Fiske Longley
10,FC,Miss Kornelia Theodosia Andrews
10,FC,Miss Mabel Fortune
10,FC,Mrs. John C. (Anna Andrews) Hogeboom
10,FC,Mrs. Mark (Mary McDougald) Fortune
10,OT,a male passenger who jumped from deck 9 (possibly Mr. Hosono
10,OT,a steward
10,OT,a stowaway
10,SC,Miss Nora A. Keane
10,SC,Mr. Masafumi Hosono
11,CR,Mr. A. McMicken or McMichen
11,CR,Mr. A. Thissinger or Thessenger or Thussinger
11,CR,Mr. Charles Donald Mackay
11,CR,Mr. Edward Wheelton
11,CR,Mr. Joseph Thomas Wheate or Wheat
11,CR,Mr. S. Humphreys or Humphries
11,CR,Mr. W. Brice
11,CR,Mrs. Annie Robinson
11,CR,Mrs. Maude Slocombe
11,FC,Master Hudson Trevor Allison
11,FC,Miss (?) Alice Cleaver
11,FC,Miss Edith Louise Rosenbaum or Russell
11,FC,Mr. Philip E. Mock
11,FC,Mrs. Paul (Emma Mock) Schabert
11,OT,a fireman 9
11,SC,Master Richard F. Becker
11,SC,Miss Jessie Leitch
11,SC,Miss Marion Louise Becker
11,SC,Miss Maude Sincock
11,SC,Miss Mildred Brown
11,SC,Miss Nina Harper
11,SC,Miss Phyllis May Quick
11,SC,Miss Winifred Vera Quick
11,SC,Mrs. Allen Oliver (Nellie E. Baumgardner) Becker
11,SC,Mrs. Elizabeth Ramell Nye
11,SC,Mrs. Frederick C. (Jane Richards) Quick
11,TC,Master Philip Aks
12,CR,Mr. Frederick Clench or Clinch
12,CR,Mr. John Poingdestre
12,OT,a male passenger who jumped from deck
12,OT,Seaman Lucas and two firemen transferred from Boat D 9
12,SC,Miss Alice Phillips
12,SC,Miss Asuncion Duran y More
12,SC,Miss Dagmar Bryhl
12,SC,Miss Emily Rugg
12,SC,Miss Florentina Duran y More
12,SC,Miss Lillian W. Bentham
12,SC,Mrs. John James (Florence Louise Long) Ware
12,SC,Mrs. Lutie Davis Parrish
12,SC,Mrs. Samuel (Anna) Abelson
12,SC,Mrs. William (Imanita) Shelly
12,TC,Master Bertram Vere Dean
12,TC,Miss Elizabeth Gladys Millvina Dean
12,TC,Mrs. Bertram (Eva Ettie) Dean
12,TC,Mrs. Percival (Florence Kate White) Thorneycroft
13,CR,Mr. Frederick Barrett
13,CR,Mr. Frederick Dent Ray
13,CR,Mr. George William Beauchamp
13,CR,Mr. Reginald Robinson Lee
13,CR,Mr. W. Wright
13,CR,Mr. Walter Williams
13,CR,Mr. William Wally Major
13,FC,Dr. Washington Dodge
13,OT,a baker 9
13,OT,two firemen 9
13,SC,Master Alden Gates Caldwell
13,SC,Master George Sidney Richards
13,SC,Master William Rowe Richards
13,SC,Miss Ellen Nellie Hocking
13,SC,Miss Hilda Mary Slayter
13,SC,Miss Mary Davis
13,SC,Miss Ruth Elizabeth Becker
13,SC,Mr. Albert Francis Caldwell
13,SC,Mr. Lawrence Beesley
13,SC,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell
13,SC,Mrs. Elizabeth Hocking
13,SC,Mrs. Mary D. Hewlett
13,SC,Mrs. Sidney (Emily Hocking) Richards
13,TC,Master Arthur Olsen
13,TC,Miss Aurora Adelia Landergren
13,TC,Miss Beatrice Irene Sandstrom
13,TC,Miss Bridget Delia Bradley
13,TC,Miss Elizabeth Dowdell
13,TC,Miss Helmina Josefina Nilsson
13,TC,Miss Hilda Maria Hellstrom
13,TC,Miss Julia Smyth
13,TC,Miss Marguerite Rut Sandstrom
13,TC,Miss Mary Agatha Glynn
13,TC,Miss Virginia Ethel Emanuel
13,TC,Mr. Bernt Johannesen-Bratthammer
13,TC,Mr. Frithiof Madsen
13,TC,Mr. Johan Cervin Svensson
13,TC,Mr. Oskar L. Johanson
13,TC,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom
13,TC,Mrs. Sam (Leah Rosen) Aks
13,TC,Mrs. William Joseph (Anna) De Messemacker
13,TC,Mr. Einar Gervasius Karlsson
14,CR,Cmdr. Harold Godfrey Lowe
14,CR,Mr. Frank Herbert Morris
14,CR,Mr. George Frederick Crowe
14,CR,Mr. John Jack Stewart
14,CR,Mr. Joseph Scarrott
14,FC,Miss Daisy E. Minahan
14,FC,Miss Sara Rebecca Compton
14,FC,Mr. William F. Hoyt
14,FC,Mrs. Alexander Taylor (Mary Eliza Ingersoll) Compton
14,FC,Mrs. William Edward (Lillian E. Thorpe) Minahan
14,OT,a stowaway disguised as woman
14,OT,an East Asian male passenger pulled from water 9
14,SC,Miss Edith E. Brown
14,SC,Miss Eva Miriam Hart
14,SC,Miss Madeleine Violet Mellenger
14,SC,Miss Marjory or Marjorie Collyer
14,SC,Miss Selena Rogers Cook
14,SC,Mr. Charles Eugene Williams
14,SC,Mrs. Amelia Lamore
14,SC,Mrs. Charles Alexander (Alice Adelaide) Louch
14,SC,Mrs. Charles V. (Ada Maria) Clarke
14,SC,Mrs. Elizabeth Anne Mellenger
14,SC,Mrs. Harvey (Charlotte Tate) Collyer
14,SC,Mrs. Thomas William Soloman (Elizabeth C.) Brown
14,SC,Mrs. Benjamin (Esther) Hart
14,TC,Master Assed Alexander Thomas
14,TC,Mr. Edward Ryan
14,TC,Mrs. Alexander (Thelma) Thomas
15,CR,Mr. George Cavell
15,CR,Mr. John Edward Hart
15,CR,Mr. L. Diamond
15,CR,Mr. Samuel James Rule
15,CR,Mr. W. H. Taylor
15,CR,two Swedish girls 32
15,FC,Mr. Charles Hallis Romaine
15,FC,Mr. George Arthur Brayton
15,FC,Mr. Harry Haven or Homer
15,SC,Mr. August Abrahamsson
15,TC,Master Harold Theodor Johnson
15,TC,Miss Eleanor Ileen Johnson
15,TC,Mr. Charles Edward Dahl
15,TC,Mr. Eino William Lindqvist
15,TC,Mr. Karl Albert Midtsjo
15,TC,Mr. William Joseph De Messemacker
15,TC,Mrs. Oscar W. (Alice Berg) Johnson
15,TC,Mrs. Pekka Pietari (Elin Dolk) Hakkarainen
16,CR,Miss Violet Constance Jessop
16,CR,Mr. C. E. Andrews
16,CR,Mr. Ernest Archer
16,CR,Mr. H. Bailey
16,CR,Mrs. Elizabeth Leather
16,OT,a baby left in Miss Jessops charge 25
16,OT,a baby left in the care of Miss Troutt
16,OT,a fireman
16,OT,a stewardess 9
16,OT,a woman who lost her husband and two sons 25
